productPK,reference,product,categoryFK
152,3530-cloche-ceramique,A-Cloche Céramique,12
153,3529-assiette-pierre-kesra,A-Assiette Pierre Kesra,12
154,3528-assiettes-calligraphiees,A-Assiettes Calligraphiées,12
155,3283-serviettes-lin,A-Serviettes Lin,12
156,3255-porcelaine-celadon,A-Porcelaine Celadon,12
157,3254-tasse,A-Tasse,12
158,3220-set-fiancailles,A-Set Fiançailles,12
159,3189-plateaux-bois-palmier,A-Plateaux Bois Palmier,12
160,3086-plateau-colore,A-Plateau Coloré,12
161,3078-plateau-peint-main,A-Plateau Peint Main,12
162,2947-coffret-tasse-tisane,A-Coffret Tasse Tisane,12
163,2919-sous-tasses-branches,A-Sous-Tasses Branches,12
164,2916-sous-tasse-puzzle,A-Sous-Tasse Puzzle,12
165,2911-plateau-poissons-peints,A-Plateau Poissons Peints,12
166,2888-Napperon_crochet,A-Napperon Crochet,12
167,2861-Vaisselle_Hamila,A-Vaisselle Hamila,12
168,2859-Plateau_avec_anse_branche,A-Plateau Avec Anse Branche,12
169,2858-Plateau_rond_akouda,A-Plateau Rond Akouda,12
170,2857-Plateau_bleu,A-Plateau Bleu,12
171,2782-Plateau_tounsi,A-Plateau Tounsi,12
172,2770-Plateau_serti_emaillage,A-Plateau Serti Emaillage,12
173,2751-Plateau_rectangulaire_faience,A-Plateau Rectangulaire Faïence,12
174,2750-Plateau_faience,A-Plateau Faïence,12
175,2749-Sous-tasse_faience,A-Sous-Tasse Faïence,12
176,2635-Saladier_Sidi_Bouzid,A-Saladier Sidi Bouzid,12
177,2620-Mortier_rustique,A-Mortier Rustique,12
178,2619-Sous-plat_Poisson,A-Sous-Plat Poisson,12
179,2616-Plateau_Poissons,A-Plateau Poissons,12
180,2607-bols-en-bois,A-Bols En Bois,12
181,2600-service-citron,A-Service Citron,12
182,2599-mug-motif-vegetal,A-Mug Motif Végétal,12
183,2594-coupes-calligraphiees,A-Coupes Calligraphiées,12
184,2515-set-toile-de-jute,A-Set Toile De Jute,12
185,2435-serviettes-brodees-ras-jbel,A-Serviettes Brodées Ras Jbel,12
186,2434-nappe-broderie-richelieu,A-Nappe Broderie Richelieu,12
187,2411-serviettes-brodees,A-Serviettes Brodées,12
188,2409-set-table-brode,A-Set Table Brodé,12
189,2406-plateau-turquoise,A-Plateau Turquoise,12
190,2389-tajine-terre-cuite,A-Tajine Terre Cuite,12
191,2388-kanoun,A-Kanoun,12
192,2384-set-a-the,A-Set À Thé,12
193,2383-coupe-cristal,A-Coupe Cristal,12
194,2382-verres-a-the,A-Verres À Thé,12
195,2353-nappe-brodee-marsa,A-Nappe Brodée Marsa,12
196,2350-plat-tajine-cuivre,A-Plat Tajine Cuivre,12
197,2349-plat-cuivre-poisson,A-Plat Cuivre Poisson,12
198,2348-boite-gateaux-cuivre,A-Boîte Gateaux Cuivre,12
199,2323-grande-assiette-peinte,A-Grande Assiette Peinte,12
200,2322-petite-assiette-peinte,A-Petite Assiette Peinte,12
201,2321-verres-a-the-peints,A-Verres À Thé Peints,12
202,2271-nappe-point-de-croix,A-Nappe Point De Croix,12
203,2265-service-etoile,A-Service Étoile,12
204,2264-bols-ceramique,A-Bols Céramique,12
205,2223-corbeille-seau,A-Coupe Seau,12
206,2222-methred,A-Methred,12
207,2205-set-table-lin,A-Set Table Lin,12
208,2193-plateau-apero,A-Plateau Apéro,12
209,2192-plateau-petit-dejeuner,A-Plateau Petit-Déjeuner,12
210,2183-plateau-cuivre-grave,A-Plateau Cuivre Gravé,12
211,2182-methred-cuivre,A-Methred Cuivre,12
212,2173-corbeille-bois,A-Corbeille Bois,12
213,2171-saladier-b-olivier,A-Saladier B. Olivier,12
214,2167-saladier-amamou,A-Saladier Amamou,12
215,2166-assiette-amamou,A-Assiette Amamou,12
216,476-vase,A-Vase,12
217,2165-plat-tajine,A-Plat Tajine,12
218,2150-sous-tasse-pompon,A-Sous Tasse Pompon,12
219,2136-ramequin-sahelien,A-Ramequin Sahélien,12
220,2134-mini-jarre,A-Mini Jarre,12
221,2086-fond-plateau-lin-floral,A-Fond Plateau Lin Floral,12
222,2085-fonds-plateau-lin,A-Fonds Plateau Lin,12
223,2084-serviettes-en-lin,A-Serviettes En Lin,12
224,2075-service-vert-pale,A-Service Vert Pâle,12
225,2074-service-blanc-mat,A-Service Blanc Mat,12
226,2049-service-de-table-zen,A-Service De Table Zen,12
227,2009-plat-fruits,A-Plat Fruits,12
228,2008-cuilleres-miel,A-Cuillères Miel,12
229,2006-saladier-bois-d-olivier,A-Saladier Bois D'Olivier,12
230,1960-sets-de-table-jonc,A-Sets De Table Jonc,12
231,1900-terrine-a-feu,A-Terrine À Feu,12
232,1899-vaisselle-mate,A-Vaisselle Mate,12
233,1895-plat-calligraphie,A-Plat Calligraphié,12
234,1894-verre-calligraphie,A-Verre Calligraphié,12
235,1876-ceramique-dar-zayane,A-Céramique Dar Zayane,12
236,1813-produits-olive-wood,A-Produits Olive Wood,12
237,1812-ceramique-sidi-bousaid,A-Céramique Sidi Bousaid,12
238,1783-sous-tasse-ecolo,A-Sous-Tasse Écolo,12
239,1730-seau-cuivre-martele,A-Seau Cuivre Martelé,12
240,1729-plateau-cuivre-martele-sousse,A-Plateau Cuivre Martelé Sousse,12
241,1727-tasse-et-sous-tasse,A-Tasse Et Sous-Tasse,12
242,1715-coupelles-cuivre-verre,A-Coupelles Cuivre Verre,12
243,1714-methrad-verre-fusionne,A-Methrad Verre Fusionné,12
244,1701-centre-de-table,A-Centre De Table,12
245,1623-assiette-ceramique-poisson,A-Assiette Céramique Poisson,12
246,1621-tagine-colore,A-Tagine Coloré,12
247,1578-fonds-plateau-et-serviettes,A-Fonds Plateau Et Serviettes,12
248,1553-plat-de-sejnene,A-Plat De Sejnene,12
249,1547-plateau-inspire-tapis,A-Plateau Inspiré Tapis,12
250,1512-mug-bleu-blanc,A-Mug Bleu Blanc,12
251,1510-service-de-table-fleuri,A-Service De Table Fleuri,12
252,1474-plateau-bleu-ciel,A-Plateau Bleu Ciel,12
253,1473-service-a-the-weart,A-Service À Thé Weart,12
254,1459-table-patchwork-ceramique,A-Table Patchwork Céramique,12
255,1455-corbeille-margoum,A-Corbeille Margoum,12
256,1443-soupiere-et-bols,A-Soupière Et Bols,12
257,1442-service-bleu-fonce,A-Service Bleu Foncé,12
258,1427-cloche-cuivre-martele,A-Cloche Cuivre Martelé,12
259,1415-theiere-sucriere,A-Théière Sucrière,12
260,1398-plateaux-bois-peints,A-Plateaux Bois Peints,12
261,1397-tebssi-divers-coloris,A-Tebssi Divers Coloris,12
262,1396-plat-carre,A-Plat Carré,12
263,1395-service-jaune,A-Service Jaune,12
264,1387-plateaux-africains,A-Plateaux Africains,12
265,1386-service-turquoise,A-Service Turquoise,12
266,1364-plat-poisson-cuivre,A-Plat Poisson Cuivre,12
267,1363-grand-plateau-cuivre,A-Grand Plateau Cuivre,12
268,1362-walima-cuivre,A-Walima Cuivre,12
269,1354-mug-poissons,A-Mug Poissons,12
270,1346-plateaux-bois-laque,A-Plateaux Bois Laqué,12
271,1311-plateaux-sidi-bousaid,A-Plateaux Sidi Bousaid,12
272,1289-set-de-table-brode-elagba,A-Set De Table Brodé Elagba,12
273,1280-set-de-the-brode,A-Set De Thé Brodé,12
274,1254-plateau-petit-dejeuner,A-Plateau Petit Déjeuner,12
275,1250-petite-assiette-ceramique-craquelee,A-Petite Assiette Céramique Craquelée,12
276,1249-grande-assiette-ceramique-craquelee,A-Grande Assiette Ceramique Craquelée,12
277,1241-grande-assiette-fusing,"A-Grande Assiette ""Fusing""",12
278,1240-petite-assiette-fusing,"A-Petite Assiette ""Fusing""",12
279,1209-tasse-porcelaine-peinte,A-Tasse Porcelaine Peinte,12
280,1207-theiare-peinte,A-Theière Peinte,12
281,1191-tebssi-bleu-blanc,A-Tebssi Bleu/Blanc,12
282,1190-bol-poisson,A-Bol Poisson,12
283,1189-sous-plat-mosaique,A-Sous Plat Mosaique,12
284,1187-plateau-sidi-bousaid,A-Plateau Sidi Bousaid,12
285,1165-service-ceramique,A-Service Céramique,12
286,1151-fonds-de-plateaux,A-Fonds De Plateaux,12
287,1107-verre-craquele-cuivre,A-Verre Craquelé Cuivre,12
288,1081-set-de-table-dentelle,A-Set De Table Dentelle,12
289,1080-serviettes-et-fonds-de-plateaux,A-Serviettes Et Fonds De Plateaux,12
290,1001-kit-de-table,A-Kit De Table,12
291,999-herisson-porte-cure-dents,A-Herisson Porte Cure-Dents,12
292,970-bol-sejnane,A-Bol Sejnane,12
293,966-2-plats-bois-olivier,A-2 Plats Bois Olivier,12
294,944-chemin-de-table-laine,A-Chemin De Table Laine,12
295,864-service-a-the-sousse,A-Service À Thé Sousse,12
296,861-cuillares-gras-noir,A-Cuillères Grès Noir,12
297,850-assiette-peinte-argent,A-Assiette Peinte Argent,12
298,848-coupe-turquoise-peinte-or,A-Coupe Turquoise Peinte Or,12
299,796-plateau-khomsa,A-Plateau Khomsa,12
300,795-presentoir-gateaux,A-Présentoir Gâteaux,12
301,785-verre-the-cuivre-verre,A-Verre Thé Cuivre/Verre,12
302,784-bols-cuivre,A-Bols Cuivre,12
303,782-service-poisson,A-Service Poisson,12
304,777-service-a-the-verre-cuivre,A-Service À Café Verre/Cuivre,12
305,762-vaisselle-en-gras,A-Vaisselle En Grès,12
306,760-service-chocolat,A-Service Chocolat,12
307,751-vaisselle-bois-olivier,A-Vaisselle Bois Olivier,12
308,686-mindil-beya,A-Mindil Beya,12
309,666-plateau-faience-bois-rouge,A-Plateau Faience Bois Rouge,12
310,651-corbeille-fibres,A-Corbeille Fibres,12
311,618-plat-fleur-bleue,A-Plat Fleur Bleue,12
312,605-sous-tasse-fibre-palmier,A-Sous Tasse Fibre Palmier,12
313,556-napperons-et-sets,A-Napperons Et Sets,12
314,547-set-et-chemin-de-table,A-Set Et Chemin De Table,12
315,517-vase-verre-souffle-cuivre-martele,A-Vase Verre Soufflé Cuivre Martelé,12
316,516-tajine-rayure,A-Tajine Rayure,12
317,484-bonbonniare-cuivre,A-Bonbonnière Cuivre,12
318,482-couscoussier-en-cuivre,A-Couscoussier En Cuivre,12
319,481-plateau-fibre-vegetale-pompon,A-Plateau Fibre Végétale Pompon,12
320,480-serviettes-brodees-et-support-ceramique,A-Serviettes Brodées Et Support Céramique,12
321,478-verres-colores,A-Verres Colorés,12
322,416-service-a-the-cuivre-verre,A-Service À Thé Cuivre/Verre,12
323,412-collection-rose-verre,A-Collection Rose Verre,12
324,411-service-bleu-verre-souffle,A-Service Bleu Verre Soufflé,12
325,410-bols-bois-frane-et-chane,A-Bols Bois Frêne Et Chêne,12
326,399-brocs-et-pots,A-Brocs Et Pots,12
327,390-bols-bois-d-olivier,A-Bols Bois D'Olivier,12
328,361-mug-chechia,A-Mug Chéchia,12
329,360-mug-khomsa,A-Mug Khomsa,12
330,359-mug-faa-ence,A-Mug Faïence,12
331,354-articles-hssir-el-halfa,A-Articles Hssir El Halfa,12
332,325-mugs-peints-a-la-main-na9cha,A-Mugs Peints À La Main Na9cha,12
333,308-articles-de-la-table-en-alfa-kasserine,A-Articles De La Table En Alfa Kasserine,12
334,303-vaisselle-ceramique-coloree,A-Vaisselle Céramique Colorée,12
335,274-vaisselle-en-ceramique-raku,A-Vaisselle En Céramique RAKU,12
336,273-assiette-en-ceramique-raku-moustache,"A-Assiette En Céramique RAKU ""Moustache""",12
337,238-coupe-taillee-dans-la-pierre,A-Coupe Taillée Dans La Pierre,12
338,229-corbeille-design-en-halfa-d-el-ouassaia-kasserine,A-Corbeille Design En Halfa D'El Ouassaia Kasserine,12
339,228-plat-design-en-halfa-d-el-ouassaia-kasserine,A-Plat Design En Halfa D'El Ouassaia Kasserine,12
340,213-service-de-table--en-terre-cuite,A-Service De Table En Terre Cuite,12
341,207-service-a-the-brode-chebka,A-Service À Thé Brodé Chebka,12
342,206-chemin-de-table-broderie-chebka,A-Chemin De Table Broderie Chebka,12
343,187-plateau-motif-chat-en-carreaux-de-faa-ence,A-Plateau Motif Chat,12
344,186-table-motif-poiss-en-carreaux-de-faa-ence,A-Table La Grande Sofia,12
345,185-table-gigogne-en-carreaux-de-faa-ence,A-Table Gigogne,12
346,170-vases-et-fioles-en-ceramique-raku,A-Vases Et Fioles En Céramique RAKU,12
347,169-assiette-en-ceramique-raku-nuances-vert,A-Assiette En Céramique RAKU Nuances Vert,12
348,168-assiette-en-ceramique-raku-vermillon,A-Assiette En Céramique RAKU Vermillon,12
349,167-service-a-the-en-gras,A-Service À Thé En Grès,12
350,166-table-en-mosaa-que,A-Table En Mosaïque,12
351,159-luminaires-longilignes-en-rotin,A-Seau,12
352,143-plateau-en-bois-de-palmier-tozeur,A-Plateau En Bois De Palmier Tozeur,12
353,139-articles-en-halfa-kasserine,"A-Articles En ""Halfa"" Kasserine",12
354,138-corbeille-halfa-kasserine,"A-Corbeille ""Halfa"" Kasserine",12
355,131-chemins-de-table-brodes,A-Chemins De Table Brodés,12
356,129-plateau-avec-broderie-sous-verre,A-Plateau Avec Broderie Sous Verre,12
357,115-service-a-the-ceramique-raku,A-Service À Thé Céramique RAKU,12
358,110-assiettes-ornees-en-ceramique-de-nabeul,A-Assiettes Nabeul,12
359,108-coupelle-ornee-poisson-ceramique,A-Coupelle Ornée Poisson Céramique,12
360,99-sous-tasse-poisson-peinte-sous-verre,A-Sous-Tasse Poisson Peinte Sous Verre,12
361,98-plateau-peint-sous-verre-avec-miroir,A-Plateau Peint Sous Verre Avec Miroir,12
362,97-sous-tasses-peintes-sous-verre,A-Sous Tasses Peintes Sous Verre,12
363,95-verres-en-gras,A-Set Festonné 6 Tasses,12
364,66-plateau-en-beton,A-Plateau En Béton,12
365,65-coupelles-en-beton,A-S Hayfa En Béton,12
366,48-mugs-colores-pour-le-petit-dejeuner-en-ceramique,A-Mugs Colorés,12
367,46-service-de-table-en-cuivre,A-Cloche En Cuivre,12
368,44-trio-en-cuivre-pour-tapenade,A-Trio En Cuivre Pour Tapenade,12
369,6232-collier-torsade,A-Collier Torsade,13
370,6231-pendentif-wiring,A-Pendentif Wiring,13
371,6208-collier-poisson,A-Collier Poisson,13
372,6207-broche-papillon-de-nuit,A-Broche Papillon De Nuit,13
373,6178-manchette-chaltout-art,A-Manchette Chaltout'Art,13
374,6147-bague-awa,A-Bague AwA,13
375,6145-collier-fianka,A-Collier Fianka,13
376,5966-bracelet-colore,A-Bracelet Coloré,13
377,5965-bague-epuree,A-Bague Épurée,13
378,5964-broche-cheveux,A-Broche Cheveux,13
379,5896-pendentif-agate,A-Pendentif Agate,13
380,5895-bague-tanit,A-Bague Tanit,13
381,5894-bracelet-poisson,A-Bracelet Poisson,13
382,5825-boucles-argent-bois,A-Boucles Argent Bois,13
383,5824-pendentif-berbere,A-Pendentif Berbère,13
384,5823-bracelet-bois,A-Bracelet Bois,13
385,5797-collier-layali,A-Collier Layali,13
386,5796-pendentif-khomsa,A-Pendentif Khomsa,13
387,5795-boucles-nkott,A-Boucles Nkott,13
388,5794-broche-paon,A-Broche Paon,13
389,5793-broche-carthaginoise,A-Broche Carthaginoise,13
390,5792-broche-poisson,A-Broche Poisson,13
391,5788-boucles-papillon,A-Boucles Papillon,13
392,5786-bracelet-perle,A-Bracelet Perle,13
393,5780-porte-cle,A-Porte-Clé,13
394,5779-pendentif,A-Pendentif,13
395,5778-bracelet-enfant,A-Bracelet Enfant,13
396,5728-broche-oiseau,A-Broche Oiseau,13
397,5727-broche-flamant,A-Broche Flamant,13
398,5683-bague-crayons,A-Bague Crayons,13
399,5682-collier-crayons,A-Collier Crayons,13
400,5678-collier-touareg,A-Collier Touareg,13
401,5677-pendentif-touareg,A-Pendentif Touareg,13
402,5667-boucles-corail,A-Boucles Corail,13
403,5666-collier-corail,A-Collier Corail,13
404,5664-bracelet-corail,A-Bracelet Corail,13
405,5658-bracelet-perles,A-Bracelet Perles,13
406,5631-collier-afro,A-Collier Afro,13
407,5619-boucles-peintes,A-Boucles Peintes,13
408,5617-broche-peinte,A-Broche Peinte,13
409,5612-broche-ceramique,A-Broche Céramique,13
410,5611-collier-ceramique,A-Collier Ceramique,13
411,5569-bijoux-nacres,A-Bijoux Nacrés,13
412,5568-bague-mandarine,A-Bague Mandarine,13
413,5567-collier-soleil,A-Collier Soleil,13
414,5527-boucles-tanit,A-Boucles Tanit,13
415,5444-pendentif-brode,A-Pendentif Brodé,13
416,5372-pendentif-filigrane,A-Pendentif Filigrane,13
417,5371-parure-anneaux,A-Parure Anneaux,13
418,5364-bracelet-manchette,A-Bracelet Manchette,13
419,5363-pique-cheveux,A-Pique Cheveux,13
420,5325-bague-soleil,A-Bague Soleil,13
421,5324-manchette,A-Manchette,13
422,5323-boucles-gomra,A-Boucles Gomra,13
423,5257-collier-argent,A-Collier Argent,13
424,5256-boucles-ruban,A-Boucles Ruban,13
425,5236-bracelet-filigrane,A-Bracelet Filigrane,13
426,5235-couronne-calligraphiee,A-Couronne Calligraphiée,13
427,5234-chevaliere-hommes,A-Chevalière Hommes,13
428,5229-collier-fleurs,A-Collier Fleurs,13
429,5228-bague-filigrane,A-Bague Filigrane,13
430,5227-boucles-d-oreille-filigrane,A-Boucles D'Oreille Filigrane,13
431,5212-collier-jasmin,A-Collier Jasmin,13
432,5211-collier-spaghetti,A-Collier Spaghetti,13
433,5210-collier-khella,A-Collier Khella,13
434,5198-col-collier,A-Col Collier,13
435,5195-collier-resine,A-Collier Résine,13
436,5177-bracelet-ruche,A-Bracelet Ruche,13
437,5176-pendentif-ruche,A-Pendentif Ruche,13
438,5175-collier-libellule,A-Collier Libellule,13
439,5163-bague-ajouree,A-Bague Ajourée,13
440,5162-boucle-feuille,A-Boucle Feuille,13
441,5161-pendentif-7ob,A-Pendentif 7ob,13
442,5089-boucle-fleur,A-Boucle Fleur,13
443,5088-bijou-sac,A-Bijou Sac,13
444,5087-pendentif-cartouche,A-Pendentif Cartouche,13
445,4988-bague-basmala,A-Bague Basmala,13
446,4987-boucle-arabesque,A-Boucle Arabesque,13
447,4986-pendentif-anneaux,A-Pendentif Anneaux,13
448,4973-bague-corail,A-Bague Corail,13
449,4937-broche-hibou,A-Broche Hibou,13
450,4935-broche-papillon,A-Broche Papillon,13
451,4887-boucles-d-oreille-zlizz,A-Boucles D'Oreille Zlizz,13
452,4886-boucles-d-oreille-silver,A-Boucles D'Oreille Silver,13
453,4885-boucles-d-oreille-feuille,A-Boucles D'Oreille Feuille,13
454,4851-collier-olivier,A-Collier Olivier,13
455,4850-manchette-argent,A-Manchette Argent,13
456,4824-boucles-okod,A-Boucles Okod,13
457,4768-bijoux-enfant,A-Bijoux Enfant,13
458,4767-personnalisation-lunettes,A-Personnalisation Lunettes,13
459,4766-sautoir,A-Sautoir,13
460,4722-boucles-d-oreilles-bleues,A-Boucles D'Oreilles Bleues,13
461,4720-collier-multicolore,A-Collier Multicolore,13
462,4715-medaillon-perroquet,A-Medaillon Perroquet,13
463,4714-medaillon-chardonneret,A-Médaillon Chardonneret,13
464,4679-bagues-brodees,A-Bagues Brodées,13
465,4678-collier-brode,A-Collier Brodé,13
466,4677-boucles-pasteque,A-Boucles Pastèque,13
467,4670-collier-cerceau,A-Collier Cerceau,13
468,4669-bague-bleue,A-Bague Bleue,13
469,4668-collier-ruche,A-Collier Ruche,13
470,4653-bracelet-prenom,A-Bracelet Prénom,13
471,4652-medaillon-nacre,A-Médaillon Nacre,13
472,4643-boucles-d-oreille-cuir,A-Boucles D'Oreille Cuir,13
473,4642-broche-cuir,A-Broche Cuir,13
474,4640-collier-prenom,A-Collier Prénom,13
475,4639-collier-chouchen,A-Collier Chouchen,13
476,4595-bracelet-cuivre,A-Bracelet Cuivre,13
477,4594-bague-cuivre,A-Bague Cuivre,13
478,4593-pendentif-cuivre,A-Pendentif Cuivre,13
479,4551-montres,A-Montres,13
480,4537-broche-elephant,A-Broche Elephant,13
481,4526-collier-ras-du-cou,A-Collier Ras Du Cou,13
482,4512-boucles-brodees,A-Boucles Brodées,13
483,4475-collier-fleuri,A-Collier Fleuri,13
484,4436-boucles-florales,A-Boucles Florales,13
